test_name,test_status,test_result
parscfcamisc_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
pard2dch0_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
pard2dinf0w_ijtag_basic_tap_tests_reset,PASS,PASS
pard2dinf0e_ijtag_basic_tap_tests_reset,PASS,PASS
pard2dch0_ijtag_basic_tap_tests_reset,PASS,PASS
parcubrmiochb_ijtag_basic_tap_tests_reset,PASS,PASS
pard2dch1_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parcubrmiocha_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parcubrmiocha_ijtag_basic_tap_tests_reset,PASS,PASS
parcubrmiochb_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
pard2dinf0e_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parcinf7w_ijtag_basic_tap_tests_reset,PASS,PASS
parcinf7e_ijtag_basic_tap_tests_reset,PASS,PASS
parcinf7w_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parcinf5w_ijtag_basic_tap_tests_reset,PASS,PASS
parcinf5w_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parcinf7e_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parcinf5e_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parcinf5e_ijtag_basic_tap_tests_reset,PASS,PASS
parcabpwba_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parcinf4_ijtag_basic_tap_tests_reset,PASS,PASS
parcinf2_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parcabmisce_ijtag_basic_tap_tests_reset,PASS,PASS
parcabmiscw_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parcinf2_ijtag_basic_tap_tests_reset,PASS,PASS
parcabmisce_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parcinf3_ijtag_basic_tap_tests_reset,FAIL,Error between simulated and expected patterns
parcinf3_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parcabpwba_ijtag_basic_tap_tests_reset,PASS,PASS
parscfmemch2n_ssn_continuity,PASS,PASS
parscfmemch2n_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parcabmiscw_ijtag_basic_tap_tests_reset,PASS,PASS
parcabinf02_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parscfmemch1s_ssn_continuity,PASS,PASS
parcabinf02_ijtag_basic_tap_tests_reset,PASS,PASS
parcabinf03_ijtag_basic_tap_tests_reset,PASS,PASS
parcabinf03_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parmioinf0_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfmemch1s_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parcabhmab_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
paridfttop_stuckat_edt_edt_low_internal_loopback,FAIL,"ERROR:  Clock period error detected, simulation aborted."
parcabcit_ijtag_basic_tap_tests_reset,PASS,PASS
parcinf4_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parcabinf00_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parcabama_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parcabcit_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parcabinf01_ijtag_basic_tap_tests_reset,PASS,PASS
parmioinf1e_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parcabhmaa_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parcabcrs4x_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
parcabcrs4x_ijtag_basic_tap_tests_reset,PASS,PASS
parcabhmab_ijtag_basic_tap_tests_reset,PASS,PASS
paraccotc_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parcabhmaa_ijtag_basic_tap_tests_reset,PASS,PASS
parcabinf00_ijtag_basic_tap_tests_reset,PASS,PASS
paraccitc_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
paracciommu_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
paracciommu_ijtag_basic_tap_tests_reset,PASS,PASS
parcabama_ijtag_basic_tap_tests_reset,PASS,PASS
parcabinf01_ijtag_basic_tap_tests_tlr_reset,PASS,PASS
paracchap_ijtag_basic_tap_tests_reset,PASS,PASS
paraccitc_ijtag_basic_tap_tests_reset,PASS,PASS
paraccotc_ijtag_basic_tap_tests_reset,PASS,PASS
paraccchassis_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
paracchap_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parscfioinf0w_ssn_continuity,PASS,PASS
parscfioinf0e_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfioinf0e_ssn_continuity,PASS,PASS
parscfhsf_ssn_continuity,PASS,PASS
parscfhsf_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfioinf0w_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfcms2xcrs2x_ssn_continuity,PASS,PASS
parscfcms2xcrs2x_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfcamisc_ssn_continuity,PASS,PASS
parcinf7w_ssn_continuity,PASS,PASS
paraccasf_ijtag_basic_tap_tests_tlr_reset,FAIL,Error between simulated and expected patterns
parcinf7w_stuckat_edt_edt_low_internal_loopback,PASS,PASS
paraccasf_ijtag_basic_tap_tests_reset,FAIL,Error between simulated and expected patterns
parcabinf03_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parcinf7e_ssn_continuity,PASS,PASS
parcabinf03_ssn_continuity,PASS,PASS
parcinf7e_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parcabinf02_stuckat_edt_edt_low_internal_loopback,PASS,PASS
paraccchassis_ijtag_basic_tap_tests_reset,PASS,PASS
parscfubruiodatatype2_ssn_continuity,PASS,PASS
parscfubruiodatatype1_ssn_continuity,PASS,PASS
parscfubruiodatatype2_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parseinf1_ssn_continuity,PASS,PASS
parscfubruioadaktype2_ssn_continuity,PASS,PASS
parscfubruiodatatype1_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parseinf1_stuckat_edt_edt_low_internal_loopback,FAIL,"ERROR:  Clock period error detected, simulation aborted."
parscfubruioadaktype2_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfubruioadaktype1_ssn_continuity,PASS,PASS
parscftqio_stuckat_edt_edt_low_internal_loopback,PASS,PASS
parscfubrsca_ssn_continuity,PASS,PASS
parmioinf3e_stuckat_edt_edt_low_internal_loopback,PASS,PASS
